dark_pixel_count,avg_x,avg_y,bbox_width,bbox_height,intersection_count,loop_count,corner_count,symmetry_metric,writing_angle_global,writing_angle_tl,writing_angle_tr,writing_angle_bl,writing_angle_br,writing_magnitude_global,writing_magnitude_tl,writing_magnitude_tr,writing_magnitude_bl,writing_magnitude_br,label
661,13.48108925869894,13.426626323751892,28,28,25,0,18,0.17091836734693877,87.0,19.0,9.0,-135.0,45.0,232.10906749060135,218.76617641197737,248.5147990456377,265.98258029360477,195.1727142111855,7
661,13.366111951588502,13.329803328290469,28,28,25,0,20,0.16581632653061223,85.0,67.0,-45.0,-71.0,-135.0,267.36757263868446,320.20948845513885,235.41994211233416,310.9806892011673,202.86017078609754,2
651,13.533026113671275,13.32258064516129,28,28,27,0,17,0.1913265306122449,-175.0,9.0,79.0,161.0,45.0,223.78823127268518,211.0908131015898,275.03984638473344,236.743130378128,172.27913522628947,8
709,13.455571227080394,13.44851904090268,28,28,32,0,22,0.11479591836734694,3.0,-135.0,67.0,161.0,171.0,240.36162956396583,213.26833405140366,268.1202990705106,237.74258223644097,242.31530289750816,6
696,13.482758620689655,13.343390804597702,28,28,23,0,13,0.1377551020408163,-177.0,9.0,83.0,71.0,45.0,224.5983527372495,188.35217978433454,249.27691915581553,273.92654595152135,186.8377660573267,9
628,13.520700636942674,13.48407643312102,28,28,30,0,15,0.20408163265306123,-3.0,-71.0,9.0,161.0,169.0,245.14095350419313,255.77272655985772,213.29478735162905,226.09666351334386,285.3996365919419,4
616,13.402597402597403,13.459415584415584,28,28,31,0,14,0.20408163265306123,3.0,19.0,7.0,171.0,71.0,243.90781726241556,223.0451363451239,225.08433843417447,277.19544757667506,250.3063466936887,0
701,13.445078459343794,13.445078459343794,28,28,28,0,22,0.13010204081632654,3.0,-135.0,7.0,-71.0,45.0,231.68681439526526,200.94995726397892,270.59384751942173,271.93895554308784,183.26449725457246,9
704,13.420454545454545,13.420454545454545,28,28,20,0,13,0.1683673469387755,-177.0,-135.0,9.0,169.0,45.0,185.03412514475127,160.47749087921957,225.20300430824207,182.7016585272966,171.7543468642467,1
674,13.42433234421365,13.445103857566766,28,28,24,0,13,0.15306122448979592,3.0,-109.0,19.0,-79.0,83.0,252.6828580898161,213.60820106624544,195.190900930727,329.3919895271784,272.54034083511357,1
593,13.161888701517707,13.352445193929174,28,28,23,0,19,0.18622448979591838,-85.0,-101.0,19.0,-81.0,-101.0,276.2804004702746,305.417563218803,228.38803303805685,254.22351985412118,317.09248577011743,2
714,13.438375350140056,13.407563025210084,28,28,26,0,12,0.07653061224489796,3.0,9.0,7.0,135.0,45.0,231.59838168250872,244.42479780252867,282.09190464522305,227.3281148571218,172.54870942516135,4
577,13.204506065857885,13.256499133448873,28,28,23,1,20,0.2372448979591837,87.0,-71.0,79.0,109.0,9.0,271.7743877531747,334.8172723006057,251.22341247150737,266.26828509983756,234.78858114074828,3
588,13.178571428571429,13.41326530612245,28,28,23,0,18,0.21428571428571427,87.0,-81.0,81.0,-45.0,161.0,249.51734046828935,257.0346685466975,242.31530289750816,218.61831481468167,280.1010756142701,2
706,13.490084985835693,13.460339943342776,28,28,18,1,10,0.11734693877551021,87.0,-79.0,83.0,-79.0,45.0,237.9295222550602,252.12208087078858,238.1066357803316,277.4869415334191,184.00243083570152,7
651,13.348694316436251,13.439324116743471,28,28,21,0,18,0.20153061224489796,87.0,-81.0,135.0,-45.0,83.0,258.56199833139186,279.98240974020257,246.83639311397314,243.2197604473007,264.20943002409115,3
632,13.45253164556962,13.287974683544304,28,28,26,0,21,0.27040816326530615,19.0,-135.0,81.0,161.0,45.0,209.61670712899908,167.6482150137768,269.83576475208037,227.21575309706733,173.76709565307195,8
687,13.407569141193596,13.461426491994178,28,28,29,0,21,0.15051020408163265,3.0,-135.0,45.0,169.0,81.0,241.61560528870274,187.73870122778442,254.27040609737423,242.19663702344056,282.2566768062117,6
678,13.35103244837758,13.395280235988201,28,28,22,0,12,0.18877551020408162,-175.0,7.0,83.0,-99.0,45.0,225.40771251993675,186.51225907818588,246.3591978536961,282.154921495837,186.60447165202802,9
610,13.19672131147541,13.260655737704917,28,28,30,0,18,0.23469387755102042,3.0,19.0,9.0,171.0,45.0,227.70943239396158,196.1099291752165,270.3023535626776,212.49638744787794,231.9290593900743,0
698,13.446991404011461,13.497134670487107,28,28,20,0,17,0.15816326530612246,79.0,-109.0,81.0,-81.0,67.0,250.03224922630892,183.79636968696028,300.17720179257674,321.38982431781636,194.76560110788236,5
638,13.283699059561128,13.34012539184953,28,28,21,0,11,0.1377551020408163,3.0,-135.0,135.0,169.0,169.0,211.7221740731757,176.04362949025767,244.30386515728458,195.4785682036306,231.06263344152987,6
609,13.292282430213465,13.344827586206897,28,28,28,0,18,0.21683673469387754,3.0,-135.0,161.0,169.0,-171.0,221.9362173020121,191.82064654920552,225.880471566749,239.07786376675924,230.96588732533453,0
673,13.396731054977712,13.49034175334324,28,28,21,0,14,0.1760204081632653,87.0,-79.0,-19.0,169.0,-135.0,241.336594574649,312.4275525352081,205.53073384673405,266.3436995194817,181.0443923971723,7
656,13.371951219512194,13.326219512195122,28,28,30,0,17,0.11734693877551021,3.0,9.0,45.0,169.0,161.0,231.24037477088035,205.83835841083908,245.84195044983957,216.17622886017526,257.10496136266744,6
720,13.438888888888888,13.4,28,28,20,0,4,0.08163265306122448,3.0,9.0,9.0,135.0,45.0,166.08593381018045,163.3853856879912,181.20160483598968,158.6939991528565,161.0627455638844,1
648,13.399691358024691,13.45679012345679,28,28,31,0,26,0.14285714285714285,-175.0,9.0,7.0,7.0,-169.0,239.8059177438651,210.2221203818688,290.4639125489871,240.7910626771524,217.74657536745212,8
719,13.48817802503477,13.406119610570236,28,28,22,0,13,0.08928571428571429,3.0,9.0,9.0,135.0,45.0,200.5910650665206,214.97976239013693,195.76023566702688,222.3089545716697,169.3153076372489,7
692,13.421965317919074,13.485549132947977,28,28,24,0,22,0.12755102040816327,3.0,9.0,7.0,-45.0,45.0,224.32713157067056,201.76045043225446,249.03958740768041,247.98370656958187,198.52478187316547,9
687,13.46433770014556,13.44395924308588,28,28,20,0,12,0.14540816326530612,3.0,-71.0,45.0,-71.0,169.0,259.1698202338458,324.6151701840408,234.53414693390937,247.94546430933784,229.5844995080952,3
667,13.484257871064468,13.36431784107946,28,28,28,0,21,0.14540816326530612,87.0,-135.0,83.0,135.0,45.0,244.15150485385615,228.38803303805685,257.26796295199614,274.3538082410368,216.59621518433482,9
663,13.481146304675717,13.38763197586727,28,28,32,0,28,0.07908163265306123,3.0,-71.0,-71.0,135.0,45.0,264.9927795953944,273.7005275115786,293.79101372558625,233.31349393482216,259.1660832095903,8
673,13.37890044576523,13.350668647845469,28,28,20,1,11,0.21173469387755103,-93.0,9.0,81.0,-71.0,45.0,263.09045466232806,239.94733644281223,306.8231375650912,321.9960269090105,183.59531773239837,5
690,13.481159420289854,13.410144927536232,28,28,27,0,16,0.14795918367346939,3.0,11.0,-45.0,-45.0,169.0,231.5471140491554,256.4274941041604,176.79365633591112,284.41227799815334,208.55502775839668,9
622,13.368167202572348,13.411575562700964,28,28,22,1,18,0.18877551020408162,87.0,9.0,83.0,-59.0,45.0,262.3912095243565,219.4658677328624,260.8331758330624,307.03913761667513,262.22665691482615,3
687,13.429403202328967,13.486171761280932,28,28,24,0,16,0.11479591836734694,175.0,71.0,9.0,-79.0,169.0,247.90063957433316,273.81919338564626,181.69415074729565,305.6821282234955,230.40708594089512,3
572,13.31993006993007,13.178321678321678,28,28,31,0,19,0.17857142857142858,5.0,19.0,9.0,171.0,45.0,229.3442731847044,209.22670586639228,267.5937401368079,221.72017750767012,218.83646922794733,0
648,13.33179012345679,13.393518518518519,28,28,23,0,17,0.12755102040816327,87.0,-79.0,81.0,135.0,-161.0,232.64816277766974,245.46631860492624,251.16294614888534,244.21999226194563,189.7433940949217,7
693,13.372294372294371,13.362193362193363,28,28,29,2,19,0.13010204081632654,3.0,9.0,81.0,171.0,-121.0,259.1001369475002,187.10734025619848,394.1623143232883,256.77315026951356,198.35774294100025,4
663,13.389140271493213,13.416289592760181,28,28,28,0,21,0.11989795918367346,87.0,-71.0,83.0,135.0,45.0,256.36387572453185,275.03984638473344,304.5027642121609,250.64973608786528,195.26315621336775,9
626,13.319488817891374,13.268370607028753,28,28,30,0,23,0.20408163265306123,11.0,9.0,83.0,169.0,45.0,224.0054044526154,212.5908667928967,275.0398463847334,214.65198863981954,193.73891599301203,8
590,13.250847457627119,13.266101694915255,28,28,32,0,17,0.20408163265306123,5.0,19.0,81.0,-45.0,169.0,220.35579620162912,216.29489473424283,214.79484104293596,223.74905690385626,226.58439212548137,0
681,13.441997063142438,13.33920704845815,28,28,26,0,23,0.13010204081632654,3.0,-101.0,79.0,-101.0,45.0,239.38838290611992,221.4989763668959,262.89429767998524,265.09600515884796,208.0642524187506,9
628,13.40764331210191,13.40764331210191,28,28,27,0,6,0.19387755102040816,3.0,9.0,9.0,-45.0,171.0,216.4628095702455,297.79862888820094,210.29467996901525,187.7145146987356,170.04341472503006,4
703,13.422475106685633,13.489331436699858,28,28,20,0,11,0.16071428571428573,-177.0,-121.0,9.0,169.0,45.0,186.769491912775,171.7543468642467,200.68264983628362,201.38657039501598,173.25440055555362,1
642,13.409657320872274,13.531152647975079,28,28,29,0,15,0.09183673469387756,87.0,45.0,7.0,-79.0,169.0,261.46827382890376,275.9093190607864,301.8836209371306,200.5639839622161,267.51617135548213,4
691,13.510853835021708,13.377713458755427,28,28,26,0,18,0.13520408163265307,175.0,19.0,9.0,135.0,45.0,252.91330075668913,213.32880037402572,333.7905871857353,265.1080984233724,199.4257170436232,4
642,13.35202492211838,13.285046728971963,28,28,26,0,17,0.1377551020408163,3.0,9.0,161.0,169.0,45.0,251.01739415959622,197.74074200511535,308.5272899384685,230.4070859408951,267.39445875390595,6
567,13.47442680776014,13.068783068783068,28,28,32,0,21,0.2780612244897959,85.0,23.0,83.0,-45.0,45.0,238.726788773223,199.97872927755125,243.81535658881504,241.51690299375704,269.59616623276867,0
656,13.376524390243903,13.326219512195122,28,28,34,0,25,0.1989795918367347,-177.0,19.0,169.0,-109.0,45.0,264.7986595589246,211.01825351444333,341.77584183140453,294.2140467772544,212.18649611259633,4
700,13.4,13.457142857142857,28,28,16,0,9,0.15306122448979592,87.0,19.0,71.0,-81.0,45.0,223.59054463866764,188.45452315603032,212.11620329662645,286.90273701075733,206.88871509125653,5
652,13.337423312883436,13.493865030674847,28,28,24,0,16,0.1326530612244898,3.0,-109.0,-101.0,-81.0,45.0,238.73888203774743,191.83273981372994,267.45265830535146,240.8152492062012,254.85488082570708,6
701,13.442225392296718,13.446504992867332,28,28,28,4,16,0.13010204081632654,5.0,45.0,9.0,135.0,171.0,253.19988146675936,212.30516198666388,334.95304063337704,173.66278981470535,291.87853343229114,1
660,13.284848484848485,13.468181818181819,28,28,37,0,21,0.18877551020408162,3.0,-135.0,109.0,-71.0,83.0,227.96779861413899,243.01695668506392,215.56678764646165,223.65457755883753,229.63287256619284,0
594,13.277777777777779,13.244107744107744,28,28,30,0,21,0.12244897959183673,3.0,19.0,9.0,171.0,45.0,220.8886498673523,205.88673146893672,241.44661017778716,214.02062766823366,222.2006301544517,0
677,13.443131462333826,13.499261447562777,28,28,22,0,9,0.09438775510204081,3.0,7.0,-11.0,135.0,171.0,225.89054615985523,242.24274331036167,201.56518762820394,206.39942656645508,253.35482713440018,1
679,13.460972017673049,13.346097201767305,28,28,23,0,15,0.1556122448979592,3.0,-99.0,81.0,45.0,45.0,226.47265816950602,207.38678516024362,254.0345611640837,254.9470933995492,189.52219295414753,7
730,13.490410958904109,13.475342465753425,28,28,20,0,3,0.04081632653061224,3.0,-135.0,9.0,135.0,169.0,162.73386614820046,153.48991752020342,162.63535884233778,171.42480254226942,163.3853856879912,1
652,13.343558282208589,13.466257668711657,28,28,30,0,25,0.15816326530612246,3.0,-135.0,135.0,169.0,161.0,239.40086614881037,212.15425366185957,272.7792324959126,228.56716523474645,244.1028132027227,6
655,13.48091603053435,13.377099236641222,28,28,23,0,14,0.125,87.0,-71.0,-9.0,-79.0,171.0,234.16124813000633,290.39057300550866,184.2017122186035,266.24636534196526,195.80634195394794,3
622,13.292604501607718,13.234726688102894,28,28,30,0,19,0.2193877551020408,3.0,19.0,11.0,-45.0,9.0,236.26558168859466,189.57056601224517,258.6314683541997,257.73632233425326,239.12397005368035,0
646,13.436532507739939,13.479876160990711,28,28,24,0,18,0.1836734693877551,87.0,-135.0,9.0,169.0,83.0,264.6589592128148,313.4086070149836,210.34078625593634,220.0480756900186,314.8383678903206,2
706,13.475920679886686,13.458923512747875,28,28,20,0,10,0.15816326530612246,-177.0,-135.0,9.0,169.0,45.0,184.50127147902802,171.75434686424668,210.29467996901525,182.7016585272966,173.25440055555362,1
689,13.355587808417997,13.494920174165458,28,28,20,0,9,0.18622448979591838,-177.0,-135.0,7.0,169.0,-169.0,184.4600784387809,169.26693457915124,186.5243523427103,202.88662408632288,179.16240274693905,1
672,13.543154761904763,13.373511904761905,28,28,24,0,19,0.1683673469387755,65.0,-99.0,81.0,45.0,45.0,233.53499539417737,210.29241319783867,243.53191855375889,290.6989775259457,189.61667229916625,7
651,13.35483870967742,13.468509984639017,28,28,35,1,24,0.15051020408163265,3.0,-101.0,9.0,-45.0,81.0,267.8654748855057,272.3028171919675,285.6508134122763,248.87658581835169,264.6316831194273,9
608,13.322368421052632,13.261513157894736,28,28,33,0,20,0.2193877551020408,3.0,19.0,11.0,-45.0,45.0,243.9369170381383,198.4786755862444,296.48753388693154,251.87669320096552,228.90476547841163,0
590,13.277966101694915,13.257627118644068,28,28,26,0,19,0.10714285714285714,87.0,71.0,9.0,-81.0,71.0,239.68379060174772,269.88491776650994,228.0844458167883,231.48488653686596,229.2809122868267,2
643,13.314152410575428,13.447900466562986,28,28,34,0,24,0.1913265306122449,87.0,-135.0,135.0,169.0,161.0,261.0230104269373,216.632494977908,283.52518789989483,277.9575676868529,265.97679114309335,6
690,13.43768115942029,13.478260869565217,28,28,21,0,15,0.12244897959183673,87.0,-79.0,83.0,135.0,45.0,218.98373957007365,252.65090657566782,250.35471975178638,202.98266334400563,169.9466686088348,7
653,13.366003062787136,13.447166921898928,28,28,34,0,26,0.20153061224489796,-175.0,19.0,83.0,9.0,23.0,236.6817881516685,192.85234085825525,284.1328773059336,250.40082603870744,219.34110840377772,8
673,13.322436849925706,13.37444279346211,28,28,22,0,15,0.20153061224489796,87.0,-81.0,135.0,-45.0,169.0,239.5464181380994,283.09714565404744,179.79376371852496,249.2293260540499,246.0654371257754,3
646,13.447368421052632,13.3328173374613,28,28,27,1,25,0.14285714285714285,3.0,45.0,83.0,-71.0,-109.0,250.79417434740378,235.7306134039477,268.2412317157547,300.0124296315881,199.1924226383246,9
625,13.4304,13.5104,28,28,36,0,21,0.1096938775510204,5.0,-169.0,149.0,135.0,83.0,260.3356635644071,269.32885880507337,253.53169255991318,265.60291110585496,252.87919178678703,0
652,13.411042944785276,13.392638036809815,28,28,29,1,14,0.19387755102040816,-161.0,45.0,19.0,135.0,45.0,260.6074696982351,249.1177442503274,313.7676513646948,288.5343297969882,191.01015338093,4
641,13.390015600624025,13.525741029641186,28,28,28,0,21,0.16581632653061223,3.0,-135.0,67.0,169.0,79.0,250.23089253128657,222.17644362540284,288.2810781004881,224.78075121290593,265.68529718634926,6
654,13.507645259938839,13.32874617737003,28,28,22,0,12,0.15816326530612246,65.0,-99.0,83.0,45.0,-109.0,230.10022261274088,200.56398396221607,229.63287256619284,285.81962291610137,204.38441100645323,7
701,13.370898716119829,13.456490727532097,28,28,30,0,12,0.09438775510204081,3.0,-169.0,9.0,169.0,169.0,226.56777559244907,254.76040148068833,247.42490518514245,210.581944687912,193.5038510160535,4
642,13.406542056074766,13.378504672897197,28,28,34,0,24,0.16326530612244897,3.0,-135.0,-109.0,169.0,171.0,241.21621034774418,209.5643061100575,267.88296732237546,275.03984638473344,212.3777215738104,6
647,13.451313755795981,13.378670788253478,28,28,28,0,21,0.1913265306122449,-175.0,9.0,9.0,135.0,45.0,218.4957169272756,214.37258794759984,272.0357016592831,204.45293325076324,183.12164485145607,8
612,13.454248366013072,13.408496732026144,28,28,31,0,13,0.15816326530612246,3.0,19.0,9.0,171.0,169.0,228.53693207343542,195.86454150539345,241.22540903701292,244.85914416238919,232.19863358894614,0
695,13.414388489208633,13.4,28,28,22,0,14,0.10459183673469388,3.0,71.0,9.0,135.0,45.0,211.6037031881911,229.5142066921253,227.1696468101462,217.41554423063025,172.3154150198627,7
642,13.404984423676012,13.350467289719626,28,28,31,0,26,0.20918367346938777,-175.0,9.0,83.0,9.0,-169.0,217.89950236367463,193.97851451232367,251.87895997214207,222.88036418413523,202.8601707860975,8
675,13.364444444444445,13.425185185185185,28,28,23,0,13,0.11479591836734694,87.0,-71.0,-9.0,135.0,171.0,235.34053137421822,292.28869326310286,200.26039674094756,259.2885757674984,189.52445972532408,3
721,13.436893203883495,13.452149791955618,28,28,20,0,11,0.13010204081632654,-177.0,-135.0,9.0,169.0,45.0,180.16386389467775,158.9774371879127,201.38657039501598,190.90584754256344,169.3856004532188,1
695,13.384172661870503,13.435971223021582,28,28,20,0,11,0.15051020408163265,175.0,9.0,83.0,135.0,45.0,217.82335790452552,195.4785682036306,265.50342256665687,191.87707552899107,218.43436531882352,5
660,13.416666666666666,13.35,28,28,22,0,19,0.16326530612244897,-93.0,45.0,83.0,-135.0,45.0,218.63782592296968,185.45637824008733,235.92684805934113,243.91945176818567,209.24862562426452,7
727,13.48968363136176,13.480055020632737,28,28,20,0,6,0.04336734693877551,3.0,-135.0,9.0,-45.0,169.0,162.73386614820046,153.48991752020342,162.63535884233778,173.79354895329732,161.0166392769633,1
687,13.442503639010189,13.508005822416303,28,28,23,0,17,0.13010204081632654,87.0,-79.0,7.0,135.0,45.0,231.7219608032502,218.7661764119774,259.55432328252977,253.4067225718326,195.16062094666108,7
726,13.460055096418733,13.413223140495868,28,28,20,0,7,0.08673469387755102,-3.0,9.0,-45.0,-45.0,169.0,171.94153498262423,171.42480254226942,166.385493070605,168.75423948163288,181.20160483598968,1
693,13.434343434343434,13.502164502164502,28,28,20,0,9,0.16071428571428573,-177.0,-109.0,19.0,169.0,45.0,184.87628490185477,180.6624564382459,195.47856820363057,191.6097681012958,171.7543468642467,1
654,13.48776758409786,13.402140672782874,28,28,26,0,18,0.12244897959183673,3.0,-135.0,81.0,-71.0,169.0,249.6362013314399,211.13691938851088,314.05413612725954,231.03844691248102,242.31530289750816,6
628,13.320063694267516,13.439490445859873,28,28,24,0,16,0.23469387755102042,87.0,-109.0,7.0,-81.0,45.0,271.9505628819408,277.02840864450985,237.86124811050854,328.703208960479,244.20938581226582,3
635,13.31496062992126,13.529133858267716,28,28,34,0,23,0.1913265306122449,85.0,9.0,-19.0,-45.0,83.0,244.10080391329697,278.6592214744087,249.59033287043192,218.54497527120319,229.60868603714403,0
677,13.404726735598228,13.460856720827179,28,28,16,0,17,0.13010204081632654,87.0,-109.0,45.0,-71.0,-135.0,248.6960824101607,302.63865697696343,245.68102373667648,247.8834380740518,198.58121085295107,2
663,13.346907993966818,13.48868778280543,28,28,31,0,18,0.13010204081632654,3.0,-135.0,9.0,169.0,45.0,233.6941640117451,221.89300559034663,225.41211218449186,224.03858839392956,263.43294987821236,9
568,13.556338028169014,13.133802816901408,28,28,26,0,24,0.1683673469387755,87.0,-79.0,79.0,-71.0,45.0,273.68573466088156,309.0029252860817,280.9478485761188,281.04310787746954,223.74905690385626,3
727,13.43191196698762,13.50343878954608,28,28,20,0,4,0.07908163265306123,3.0,-135.0,9.0,135.0,-161.0,162.73386614820046,165.63546622495156,160.26661243130988,161.0166392769633,164.0167466595771,1
687,13.510917030567686,13.436681222707424,28,28,20,0,9,0.1760204081632653,-177.0,-109.0,9.0,-79.0,-109.0,193.0755606704477,180.6624564382459,188.77443287967063,223.70295061693517,179.16240274693902,1
596,13.359060402684564,13.266778523489933,28,28,28,0,24,0.17346938775510204,85.0,-99.0,-19.0,-71.0,71.0,229.42665926519874,207.38678516024362,198.80644933656174,274.8025146365983,236.71088792739124,0
677,13.404726735598228,13.451994091580502,28,28,27,0,18,0.14030612244897958,15.0,19.0,9.0,135.0,45.0,250.48667338725159,217.34850880116485,314.23119344778354,262.29064561678297,208.076345683275,4
657,13.400304414003044,13.366818873668189,28,28,25,0,18,0.125,3.0,-135.0,79.0,-45.0,45.0,228.08464080587132,224.4990837495097,252.72346616281425,227.003387834313,208.11262547684822,9
600,13.475,13.42,28,28,22,0,19,0.12755102040816327,87.0,67.0,83.0,-81.0,-135.0,291.3185986622634,333.61775910305875,269.7412854070616,281.6495023636746,280.26584777525875,2
655,13.332824427480917,13.4,28,28,38,0,25,0.18112244897959184,3.0,23.0,161.0,-79.0,81.0,255.6642406083943,238.65738124308308,266.88176365638765,257.05885507574635,260.05896245836016,0
577,13.225303292894282,13.435008665511265,28,28,31,0,22,0.29336734693877553,5.0,19.0,11.0,-79.0,71.0,235.53860798640173,203.74095677034296,249.54422658351083,254.85488082570708,234.014367766046,0
601,13.312811980033278,13.341098169717139,28,28,21,0,15,0.22193877551020408,87.0,-81.0,135.0,-45.0,67.0,231.19245418361652,247.40071865609363,225.24911059516316,229.1209574250065,222.9990300582028,2
577,13.223570190641247,13.490467937608319,28,28,36,0,24,0.21173469387755103,175.0,19.0,45.0,-81.0,83.0,233.241287776932,209.97673271204573,260.7686721676038,226.64485844810346,235.57488777997497,0
668,13.363772455089821,13.366766467065869,28,28,23,0,17,0.12755102040816327,87.0,-109.0,7.0,-79.0,79.0,243.55057203266426,249.0834269234249,189.6922786138213,229.98483284555903,305.4417497478519,2
663,13.535444947209653,13.32579185520362,28,28,22,0,15,0.1556122448979592,87.0,-79.0,81.0,45.0,-169.0,239.0434785947251,217.70046908053098,271.2171525693197,268.73151085588415,198.52478187316547,7
735,13.47891156462585,13.462585034013605,28,28,20,0,7,0.08418367346938775,3.0,45.0,9.0,135.0,45.0,169.98899503467024,164.0167466595771,181.20160483598968,166.9586544907454,167.77897415236876,1
655,13.410687022900763,13.5206106870229,28,28,30,0,25,0.125,-175.0,9.0,9.0,-71.0,169.0,229.44479916198534,211.09081310158973,239.2426359277479,265.26304409101317,202.18270352759055,8
647,13.333848531684698,13.378670788253478,28,28,23,0,19,0.19642857142857142,3.0,19.0,71.0,-45.0,83.0,243.02049872023647,216.34100102116392,280.0184976387648,215.59097417551047,260.1315220455066,6
663,13.318250377073907,13.36500754147813,28,28,28,0,17,0.16071428571428573,-101.0,45.0,23.0,135.0,71.0,249.069005776439,186.52208557153375,306.79895103604235,297.11662808734087,205.83835841083908,4
691,13.387843704775687,13.439942112879883,28,28,20,0,3,0.08928571428571429,3.0,-135.0,9.0,135.0,169.0,169.4149483286999,169.9708551378836,164.83933309237705,171.42480254226942,171.42480254226942,1
633,13.436018957345972,13.39178515007899,28,28,25,0,19,0.13520408163265307,3.0,-109.0,7.0,171.0,67.0,232.56760037951065,191.83273981372994,264.734218386134,219.5766695802529,254.12677373792587,6
672,13.410714285714286,13.363095238095237,28,28,20,0,18,0.15306122448979592,3.0,-71.0,9.0,-71.0,169.0,267.6448404375256,291.8664401677667,230.4070859408951,304.49047905262563,243.81535658881504,3
644,13.400621118012422,13.372670807453416,28,28,29,0,20,0.16326530612244897,-93.0,-161.0,9.0,135.0,67.0,264.916758740198,210.28031993331425,375.42324024695984,262.4405820902444,211.52289269027372,4
696,13.436781609195402,13.41235632183908,28,28,20,0,9,0.12244897959183673,3.0,-135.0,9.0,161.0,169.0,177.8725903174702,163.26671981392366,160.26661243130988,204.38667777762979,183.57035124701758,5
694,13.399135446685879,13.37463976945245,28,28,23,0,19,0.12244897959183673,3.0,9.0,83.0,135.0,45.0,218.57205637550769,189.85223347564144,245.1506381191333,242.8257312238499,196.4596226834061,9
673,13.423476968796434,13.49182763744428,28,28,20,0,8,0.22193877551020408,-3.0,161.0,109.0,-45.0,169.0,198.30269544656127,214.09092048420356,180.66245643824595,173.25440055555362,225.20300430824204,1
622,13.47427652733119,13.517684887459808,28,28,23,0,20,0.25,87.0,-101.0,7.0,-81.0,71.0,262.5339811603502,286.80521093823006,248.03207962767956,302.6586142681649,212.6400198073263,3
679,13.375552282768778,13.390279823269514,28,28,24,0,17,0.14030612244897958,87.0,-135.0,-9.0,-45.0,169.0,239.383859637612,287.99764006543194,187.20181960121727,266.15975002362353,216.17622886017529,3
